1,China
2,United States
3,India
4,Russia
5,Japan
6,Germany
7,Canada
8,Iran
9,South Korea
10,Indonesia
11,Saudi Arabia
12,Brazil
13,Mexico
14,Australia
15,South Africa
16,Turkey
17,United Kingdom
18,Italy
19,France
20,Poland
21,Taiwan
22,Thailand
23,Malaysia
24,Spain
25,Ukraine
26,Kazakhstan
27,Egypt
28,United Arab Emirates
29,Vietnam
30,Argentina
31,Pakistan
32,Venezuela
33,Netherlands
34,Iraq
35,Algeria
36,Philippines
37,Czech Republic (Czechia)
38,Uzbekistan
39,Kuwait
40,Qatar
41,Belgium
42,Oman
43,Nigeria
44,Chile
45,Turkmenistan
46,Romania
47,Colombia
48,Bangladesh
49,Austria
50,Greece
51,Israel
52,Belarus
53,North Korea
54,Morocco
55,Peru
56,Libya
57,Finland
58,Hungary
59,Bulgaria
60,Portugal
61,Singapore
62,Hong Kong
63,Sweden
64,Norway
65,Serbia
66,Ecuador
67,Switzerland
68,Ireland
69,Syria
70,Denmark
71,Slovakia
72,Trinidad and Tobago
73,Azerbaijan
74,New Zealand
75,Angola
76,Cuba
77,Tunisia
78,Bosnia and Herzegovina
79,Yemen
80,Bahrain
81,Dominican Republic
82,Jordan
83,Estonia
84,Lebanon
85,Bolivia
86,Croatia
87,Mongolia
88,Guatemala
89,Sri Lanka
90,Myanmar
91,Kenya
92,Montenegro
93,Slovenia
94,Ghana
95,Lithuania
96,Sudan
97,Panama
98,Ethiopia
99,Luxembourg
100,Zimbabwe
101,Côte d'Ivoire
102,Afghanistan
103,Tanzania
104,Cameroon
105,Honduras
106,Papua New Guinea
107,Jamaica
108,North Macedonia
109,Georgia
110,Costa Rica
111,Moldova
112,Senegal
113,Latvia
114,Nepal
115,Brunei
116,Kyrgyzstan
117,Cyprus
118,El Salvador
119,DR Congo
120,Benin
121,Uruguay
122,Cambodia
123,Botswana
124,Tajikistan
125,Paraguay
126,Mozambique
127,Gabon
128,Nicaragua
129,Congo
130,Albania
131,Uganda
132,Armenia
133,Laos
134,Bahamas
135,Zambia
136,South Sudan
137,Iceland
138,Namibia
139,Guyana
140,Mauritius
141,Macao
142,Haiti
143,Madagascar
144,Martinique
145,Mauritania
146,Guadeloupe
147,Burkina Faso
148,New Caledonia
149,Togo
150,Malta
151,Equatorial Guinea
152,Suriname
153,Niger
154,Guinea
155,Malawi
156,Fiji
157,Bhutan
158,Chad
159,Mali
160,Barbados
161,Djibouti
162,French Guiana
163,Rwanda
164,Sierra Leone
165,Somalia
166,Maldives
167,Réunion
168,Belize
169,Burundi
170,French Polynesia
171,Liberia
172,Puerto Rico
173,Eritrea
174,Eswatini
175,Bermuda
176,Saint Lucia
177,Gibraltar
178,Grenada
179,Central African Republic
180,Seychelles
181,Timor-Leste
182,Antigua and Barbuda
183,Cayman Islands
184,St. Vincent & Grenadines
185,Solomon Islands
186,Guinea-Bissau
187,Lesotho
188,Aruba
189,Gambia
190,Tonga
191,Western Sahara
192,Saint Kitts & Nevis
193,Dominica
194,Samoa
195,Vanuatu
196,Comoros
197,British Virgin Islands
198,Cabo Verde
199,Turks and Caicos
200,Sao Tome & Principe
201,Kiribati
202,Falkland Islands
203,Palau
204,Cook Islands
205,Anguilla
206,Saint Helena
207,Saint Pierre & Miquelon
208,Faeroe Islands
209,Greenland
